
SWR-DL-CORE-1	10.18.255.1
SWR-DL-CORE-2	10.18.255.2
SWR-DL-EDGE-1-N	10.5.18.52
SWR-DL-EDGE-2-N	10.5.18.53


SWR-CROC-CORE-1	10.26.255.1
SWR-CROC-CORE-2	10.26.255.2




#ACI

APIC-PROD-1	10.5.34.4
APIC-PROD-2	10.5.34.5
SPINE-PROD-1001	10.5.34.8
SPINE-PROD-1002	10.5.34.9
SPINE-PROD-1003	10.5.34.10
SPINE-PROD-1004	10.5.34.11
LEAF-PROD-101	10.5.34.14
LEAF-PROD-102	10.5.34.15
LEAF-PROD-103	10.5.34.16
LEAF-PROD-104	10.5.34.17
LEAF-PROD-105	10.5.34.18
LEAF-PROD-106	10.5.34.19
LEAF-PROD-107	10.5.34.20
LEAF-PROD-108	10.5.34.21
LEAF-PROD-109	10.5.34.22
LEAF-PROD-110	10.5.34.23
LEAF-PROD-111	10.5.34.24
LEAF-PROD-112	10.5.34.25
SWR-CROC-IPN-1	10.5.34.12
SWR-CROC-IPN-2	10.5.34.13
SWR-DL-IPN-1	10.5.34.130
SWR-DL-IPN-2	10.5.34.131
APIC-PROD-3	10.5.34.132
APIC-PROD-4	10.5.34.133
SPINE-PROD-2001	10.5.34.136
SPINE-PROD-2002	10.5.34.137
SPINE-PROD-2003	10.5.34.138
SPINE-PROD-2004	10.5.34.139
LEAF-PROD-201	10.5.34.140
LEAF-PROD-202	10.5.34.141
LEAF-PROD-203	10.5.34.142
LEAF-PROD-204	10.5.34.143
LEAF-PROD-205	10.5.34.144
LEAF-PROD-206	10.5.34.145
LEAF-PROD-207	10.5.34.146
LEAF-PROD-208	10.5.34.147
LEAF-PROD-209	10.5.34.148
LEAF-PROD-210	10.5.34.149
LEAF-PROD-211	10.5.34.150
LEAF-PROD-212	10.5.34.151
LEAF-PROD-213	10.5.34.152
LEAF-PROD-214	10.5.34.153
LEAF-PROD-215	10.5.34.154
LEAF-PROD-216	10.5.34.155
LEAF-PROD-217	10.5.34.156
LEAF-PROD-218	10.5.34.157
LEAF-PROD-219	10.5.34.158
LEAF-PROD-220	10.5.34.159
LEAF-PROD-221	10.5.34.160
LEAF-PROD-222	10.5.34.161
LEAF-PROD-223	10.5.34.162
LEAF-PROD-224	10.5.34.163
LEAF-PROD-225	10.5.34.164
LEAF-PROD-226	10.5.34.165

APIC-DEV-1	10.5.35.4
APIC-DEV-2	10.5.35.5
SPINE-DEV-1001	10.5.35.8
SPINE-DEV-1002	10.5.35.9
LEAF-DEV-101	10.5.35.12
LEAF-DEV-102	10.5.35.13
LEAF-DEV-103	10.5.35.14
LEAF-DEV-104	10.5.35.15
LEAF-DEV-105	10.5.35.16
LEAF-DEV-106	10.5.35.17
LEAF-DEV-107	10.5.35.18
LEAF-DEV-108	10.5.35.19
APIC-DEV-3	10.5.35.132
APIC-DEV-4	10.5.35.133
SPINE-DEV-2001	10.5.35.136
SPINE-DEV-2002	10.5.35.137
LEAF-DEV-201	10.5.35.140
LEAF-DEV-202	10.5.35.141
LEAF-DEV-203	10.5.35.142
LEAF-DEV-204	10.5.35.143
LEAF-DEV-205	10.5.35.144
LEAF-DEV-206	10.5.35.145
LEAF-DEV-207	10.5.35.146
LEAF-DEV-208	10.5.35.147


# FW
FW-DL-EXTRANET-1	10.5.18.50



